Program,Size,parseTime,extractTime,nonNegTransTime,probTransTime,wpTransTime,z3res,z3runTimeNonNeg,z3runTimeProb,z3invariantTotalTime,z3invariantSolverTime,z3constraintSolverTime,z3multiplyGuardsTime,z3checkSatTotalTime,toolTimeZ3,cvc5res,cvc5runTimeNonNeg,cvc5runTimeProb,cvc5invariantTotalTime,cvc5invariantSolverTime,cvc5constraintSolverTime,cvc5multiplyGuardsTime,cvc5checkSatTotalTime,toolTimecvc5,runNonNegCheckNTimes,runProbCheckNTimes,doNonNeg,doProbCheck
sequentialWhileLoops_1.pgcl,1,0.027960777282714844,4.9114227294921875e-05,0.00019478797912597656,0.00010418891906738281,0.00012731552124023438,Sat,0.016512155532836914,0.013696908950805664,0.020364999771118164,0.020339012145996094,0.023312091827392578,2.1457672119140625e-06,0.043892860412597656,0.10254096984863281,Sat,0.13462591171264648,0.004037141799926758,0.02353525161743164,0.02351093292236328,0.002374887466430664,2.1457672119140625e-06,0.025948047637939453,0.19305014610290527,False,False,True,True
sequentialWhileLoops_2.pgcl,2,0.009048938751220703,8.0108642578125e-05,0.0005021095275878906,0.0002911090850830078,0.0004520416259765625,Unsat,0.03218579292297363,0.015913009643554688,0.0265350341796875,0.02649712562561035,0.011567115783691406,1.9073486328125e-06,0.03814196586608887,0.09661674499511719,Unsat,0.012929916381835938,0.005895137786865234,0.021955251693725586,0.02191472053527832,0.0022029876708984375,1.9073486328125e-06,0.024195194244384766,0.05339622497558594,False,False,True,True
sequentialWhileLoops_3.pgcl,3,0.014163017272949219,0.00010585784912109375,0.0012557506561279297,0.005554914474487305,0.00029397010803222656,Unsat,0.0343630313873291,0.028647899627685547,0.049323081970214844,0.049170494079589844,0.011863231658935547,7.152557373046875e-07,0.06135988235473633,0.14574861526489258,Unsat,0.030612945556640625,0.012746810913085938,0.032682180404663086,0.03262138366699219,0.002232074737548828,1.9073486328125e-06,0.034951210021972656,0.09968876838684082,False,False,True,True
sequentialWhileLoops_4.pgcl,4,0.014925956726074219,0.00012421607971191406,0.002235889434814453,0.001316070556640625,0.0003871917724609375,Unsat,0.05516695976257324,0.03593301773071289,0.06463479995727539,0.06451678276062012,0.016479015350341797,4.0531158447265625e-06,0.08128690719604492,0.1913769245147705,Unsat,0.06823229789733887,0.025626182556152344,0.045266151428222656,0.04518294334411621,0.0023140907287597656,9.5367431640625e-07,0.04761481285095215,0.1604633331298828,False,False,True,True
sequentialWhileLoops_5.pgcl,5,0.017606019973754883,0.00015425682067871094,0.004673957824707031,0.0025153160095214844,0.0004596710205078125,Unsat,0.10588407516479492,0.06240105628967285,0.06734085083007812,0.06723546981811523,0.012392997741699219,2.1457672119140625e-06,0.08026695251464844,0.27396297454833984,Unsat,0.13944721221923828,0.05297398567199707,0.055930137634277344,0.05584096908569336,0.0024118423461914062,1.9073486328125e-06,0.058476924896240234,0.2763090133666992,False,False,True,True
sequentialWhileLoops_6.pgcl,6,0.01776719093322754,0.00017690658569335938,0.007561922073364258,0.00496220588684082,0.0005559921264648438,Unsat,0.19112110137939453,0.13179707527160645,0.08063077926635742,0.08051538467407227,0.01152801513671875,2.1457672119140625e-06,0.09234094619750977,0.4462864398956299,Unsat,0.35651087760925293,0.1480872631072998,0.08650588989257812,0.0863943099975586,0.002666950225830078,1.6689300537109375e-06,0.08929991722106934,0.6249253749847412,False,False,True,True
sequentialWhileLoops_7.pgcl,7,0.01988983154296875,0.00020313262939453125,0.015115976333618164,0.009039163589477539,0.0006237030029296875,Sat,0.47808194160461426,0.26079893112182617,0.22316908836364746,0.22301840782165527,0.039877891540527344,2.1457672119140625e-06,0.26490116119384766,1.048656940460205,Sat,1.1010382175445557,0.27639126777648926,0.08304572105407715,0.08291506767272949,0.0020270347595214844,1.9073486328125e-06,0.08524274826049805,1.50754714012146,False,False,True,True
sequentialWhileLoops_8.pgcl,8,0.022340059280395508,0.00022792816162109375,0.02768993377685547,0.018602848052978516,0.0007081031799316406,Sat,0.7412617206573486,0.4127490520477295,0.10659980773925781,0.10643649101257324,0.01024317741394043,2.1457672119140625e-06,0.11702084541320801,1.3406038284301758,Sat,1.5499153137207031,0.5505011081695557,0.11280202865600586,0.11263489723205566,0.002374887466430664,9.5367431640625e-07,0.11532998085021973,2.285318613052368,False,False,True,True
sequentialWhileLoops_9.pgcl,9,0.029412031173706055,0.000560760498046875,0.122467041015625,0.08033108711242676,0.0016231536865234375,Sat,1.5642321109771729,0.8623349666595459,0.12165713310241699,0.12148165702819824,0.010275840759277344,2.1457672119140625e-06,0.13212203979492188,2.7930891513824463,Sat,3.2726049423217773,0.9939420223236084,0.11692690849304199,0.1167595386505127,0.00222015380859375,1.9073486328125e-06,0.1193079948425293,4.620254993438721,False,False,True,True
sequentialWhileLoops_10.pgcl,10,0.025690793991088867,0.0002789497375488281,0.3819100856781006,0.07724595069885254,0.0021028518676757812,Sat,2.703023910522461,1.6308412551879883,0.1417989730834961,0.14159798622131348,0.010386943817138672,2.1457672119140625e-06,0.15236592292785645,4.973466157913208,Sat,6.5214009284973145,2.2016708850860596,0.11616992950439453,0.11598968505859375,0.002012968063354492,2.1457672119140625e-06,0.11835885047912598,9.328665733337402,False,False,True,True
sequentialWhileLoops_11.pgcl,11,0.026724815368652344,0.00030493736267089844,0.4781339168548584,0.18387699127197266,0.0010709762573242188,Unsat,5.582112073898315,3.2290730476379395,0.15185117721557617,0.1516273021697998,0.011400938034057617,1.6689300537109375e-06,0.16342592239379883,9.664728879928589,Unsat,15.877827882766724,4.1124467849731445,0.12821698188781738,0.12799859046936035,0.0022482872009277344,1.9073486328125e-06,0.1306459903717041,20.811038494110107,False,False,True,True
sequentialWhileLoops_12.pgcl,12,0.02858901023864746,0.00033092498779296875,0.8370249271392822,0.6148040294647217,0.0011570453643798828,Sat,10.960292100906372,6.6297993659973145,0.16478276252746582,0.16452455520629883,0.010521173477172852,9.5367431640625e-07,0.17549490928649902,19.24749732017517,Sat,31.877068996429443,8.080969095230103,0.14225411415100098,0.1419823169708252,0.002244234085083008,1.9073486328125e-06,0.14464116096496582,41.5845901966095,False,False,True,True
